Permission	Allowed	Denied
Email - Admin - Send Management - SMS Delivery Profile - View	false	false
Email - Admin - Send Management - SMS Delivery Profile - Update	false	false
Email - Admin - Send Management - SMS Delivery Profile - Delete	false	false
Email - Admin - Send Management - SMS Send Classification	false	false
Email - Admin - Send Management - SMS Send Classification - Create	false	false
Email - Admin - Send Management - SMS Send Classification - View	false	false
Email - Admin - Send Management - SMS Send Classification - Update	false	false
Email - Admin - Send Management - SMS Send Classification - Delete	false	false
Email - Admin - Send Management - Voice Sender Profile	false	false
Email - Admin - Send Management - Voice Sender Profile - Create	false	false
Email - Admin - Send Management - Voice Sender Profile - View	false	false
Email - Admin - Send Management - Voice Sender Profile - Update	false	false
Email - Admin - Send Management - Voice Sender Profile - Delete	false	false
Email - Admin - Send Management - Voice Delivery Profile	false	false
Email - Admin - Send Management - Voice Delivery Profile - Create	false	false
Email - Admin - Send Management - Voice Delivery Profile - View	false	false
Email - Admin - Send Management - Voice Delivery Profile - Update	false	false
Email - Admin - Send Management - Voice Delivery Profile - Delete	false	false
Email - Admin - Send Management - Voice Send Classification	false	false
Email - Admin - Send Management - Voice Send Classification - Create	false	false
Email - Admin - Send Management - Voice Send Classification - View	false	false
Email - Admin - Send Management - Voice Send Classification - Update	false	false
Email - Admin - Send Management - Voice Send Classification - Delete	false	false
Email - Admin - Send Management - Test Send Threshold	false	false
Email - Admin - Send Management - Test Send Threshold - View	false	false
Email - Admin - Send Management - Test Send Threshold - Update	false	false
Email - Admin - Send Management - URL Expiration	false	false
Email - Admin - Send Management - URL Expiration - Update	false	false
Email - Admin - Send Management - Subject/Preheader Validation	false	false
Email - Admin - Send Management - Subject/Preheader Validation - View	false	false
Email - Admin - Send Management - Subject/Preheader Validation - Update	false	false
Email - Admin - External Object Sources	false	false
Email - Admin - External Object Sources - File Location	false	false
Email - Admin - External Object Sources - File Location - Create	false	false
Email - Admin - External Object Sources - File Location - View	false	false
Email - Admin - External Object Sources - File Location - Update	false	false
Email - Admin - External Object Sources - File Location - Delete	false	false
Email - Admin - External Object Sources - Key Management	false	false
Email - Admin - External Object Sources - Key Management - Create	false	false
Email - Admin - External Object Sources - Key Management - View	false	false
Email - Admin - External Object Sources - Key Management - Update	false	false
Email - Admin - External Object Sources - Key Management - Delete	false	false
Email - Admin - Page Action	false	false
Email - Admin - Page Action - Create	false	false
Email - Admin - Page Action - View	false	false
Email - Admin - Page Action - Update	false	false
Email - Admin - Page Action - Delete	false	false
Email - Integrations	false	false
Email - Integrations - Microsoft CRM	false	false
Email - Integrations - Microsoft CRM - Access Marketing Cloud from External System	false	false
Email - Integrations - Microsoft CRM - Resubscribe	false	false
Email - Integrations - Microsoft CRM - Manage Data	false	false
Email - Integrations - Microsoft CRM - Access	false	false
Email - Integrations - Salesforce CRM	false	false
Email - Integrations - Salesforce CRM - Access Marketing Cloud from External System	true	false
Email - Integrations - Salesforce CRM - Resubscribe	false	false
Email - Integrations - Salesforce CRM - Manage Data	false	false
Email - Integrations - Salesforce Send	false	false
Email - Integrations - Salesforce Send - Create	false	false
Email - Integrations - Salesforce Send - View	false	false
Email - Integrations - Salesforce Send - Delete	false	false
Email - Integrations - Salesforce Send - Update	false	false
Email - Integrations - Salesforce Send - Schedule	false	false
Email - Integrations - Salesforce Send - Search	false	false
Email - Shared Folders	false	false
Email - Shared Folders - Shared Email Folders	false	false
Email - Shared Folders - Shared Email Folders - View	false	false
Email - Shared Folders - Shared Email Folders - Move	false	false
Email - Shared Folders - Shared Email Folders - Delete	false	false
Email - Shared Folders - Shared Email Folders - Rename	false	false
Email - Shared Folders - Shared Email Folders - Create Sub Folder	false	false
Email - Shared Folders - Shared Email Folders - Share	false	false
Email - Shared Folders - Shared Template Folders	false	false
Email - Shared Folders - Shared Template Folders - View	false	false
Email - Shared Folders - Shared Template Folders - Move	false	false
Email - Shared Folders - Shared Template Folders - Delete	false	false
Email - Shared Folders - Shared Template Folders - Rename	false	false
